"","station_code","stations","line","line_code","line_number","join_station","is_interchange","mrt_score","bus_score","walk_score","score","Reachable_Stations"
"1","CE1","Bayfront","Circle Line","CCL",1,"bayfront",1,1,57.6100193284594,NA,0.158193688225927,"MARINA BAY MRT STATION (CE2)/MARINA BAY MRT STATION (NS27)/SHENTON WAY MRT STATION (TE19)/DOWNTOWN MRT STATION (DT17)/PROMENADE MRT STATION (DT15)/RAFFLES PLACE MRT STATION (EW14 / NS26)/TELOK AYER MRT STATION (DT18)/PRINCE EDWARD ROAD MRT STATION (CC32)/TANJONG PAGAR MRT STATION (EW15)/MARINA BAY MRT STATION/RAFFLES PLACE MRT STATION/GARDENS BY THE BAY MRT STATION (TE22)/MARINA SOUTH MRT STATION (TE21)/MAXWELL MRT STATION (TE18)/PROMENADE MRT STATION (CC4)/CITY HALL MRT STATION (EW13 / NS25)/BRAS BASAH MRT STATION (CC2)/ESPLANADE MRT STATION (CC3)/CITY HALL MRT STATION/BENCOOLEN MRT STATION (DT21)/BUGIS MRT STATION (DT14)/MARINA BAY MRT STATION (TE20)"
"2","CC1","Dhoby Ghaut","Circle Line","CCL",1,"dhobyghaut",1,2,309.43560092593,2.56926901860605,0.84425926604576,"DHOBY GHAUT MRT STATION (NS24)/ROCHOR MRT STATION (DT13)/CITY HALL MRT STATION (EW13 / NS25)/BENCOOLEN MRT STATION (DT21)/BRAS BASAH MRT STATION (CC2)/BUGIS MRT STATION (EW12)/ESPLANADE MRT STATION (CC3)/JALAN BESAR MRT STATION (DT22)/LITTLE INDIA MRT STATION (DT12)/LITTLE INDIA MRT STATION (NE7)/BUGIS MRT STATION/CITY HALL MRT STATION/LITTLE INDIA MRT STATION/CHINATOWN MRT STATION (DT19)/CHINATOWN MRT STATION (NE4)/CLARKE QUAY MRT STATION (NE5)/BENDEMEER MRT STATION (DT23)/CHINATOWN MRT STATION/CLARKE QUAY MRT STATION/RAFFLES PLACE MRT STATION (EW14 / NS26)/TELOK AYER MRT STATION (DT18)/PROMENADE MRT STATION (CC4)/PROMENADE MRT STATION (DT15)/SOMERSET MRT STATION (NS23)/DHOBY GHAUT MRT STATION (NE6)/SOMERSET MRT STATION/FORT CANNING MRT STATION (DT20)/FARRER PARK MRT STATION (NE8)/RAFFLES PLACE MRT STATION/BUGIS MRT STATION (DT14)/FARRER PARK MRT STATION/HAVELOCK MRT STATION (TE16)/GREAT WORLD MRT STATION (TE15)/ORCHARD MRT STATION (NS22)/ORCHARD MRT STATION (TE14)/MAXWELL MRT STATION (TE18)/OUTRAM PARK MRT STATION (NE3)/OUTRAM PARK MRT STATION (EW16)/OUTRAM PARK MRT STATION (TE17)/OUTRAM PARK MRT STATION/NICOLL HIGHWAY MRT STATION (CC5)/LAVENDER MRT STATION (EW11)/LAVENDER MRT STATION"
"3","CC2","Bras Basah","Circle Line","CCL",2,"brasbasah",0,0,148.061339576876,4.83871401192009,0.407965085275089,"CHINATOWN MRT STATION (DT19)/CHINATOWN MRT STATION (NE4)/CLARKE QUAY MRT STATION (NE5)/MAXWELL MRT STATION (TE18)/ROCHOR MRT STATION (DT13)/CITY HALL MRT STATION (EW13 / NS25)/BENCOOLEN MRT STATION (DT21)/BUGIS MRT STATION (DT14)/BUGIS MRT STATION (EW12)/ESPLANADE MRT STATION (CC3)/FORT CANNING MRT STATION (DT20)/JALAN BESAR MRT STATION (DT22)/LAVENDER MRT STATION (EW11)/CHINATOWN MRT STATION/CLARKE QUAY MRT STATION/BUGIS MRT STATION/CITY HALL MRT STATION/LAVENDER MRT STATION/SOMERSET MRT STATION (NS23)/BENDEMEER MRT STATION (DT23)/DHOBY GHAUT MRT STATION (NS24)/DHOBY GHAUT MRT STATION (CC1)/DHOBY GHAUT MRT STATION (NE6)/SOMERSET MRT STATION/RAFFLES PLACE MRT STATION (EW14 / NS26)/FARRER PARK MRT STATION (NE8)/RAFFLES PLACE MRT STATION/FARRER PARK MRT STATION/PROMENADE MRT STATION (DT15)/LITTLE INDIA MRT STATION (DT12)/LITTLE INDIA MRT STATION (NE7)/LITTLE INDIA MRT STATION/OUTRAM PARK MRT STATION (NE3)/OUTRAM PARK MRT STATION (EW16)/OUTRAM PARK MRT STATION (TE17)/OUTRAM PARK MRT STATION/PROMENADE MRT STATION (CC4)/TELOK AYER MRT STATION (DT18)/SHENTON WAY MRT STATION (TE19)/DOWNTOWN MRT STATION (DT17)/NICOLL HIGHWAY MRT STATION (CC5)/BAYFRONT MRT STATION (DT16 / CE1)/GREAT WORLD MRT STATION (TE15)/HAVELOCK MRT STATION (TE16)/TANJONG PAGAR MRT STATION (EW15)/BOON KENG MRT STATION (NE9)/ORCHARD MRT STATION (NS22)/ORCHARD MRT STATION (TE14)"
"4","CE2","Marina Bay","Circle Line","CCL",2,"marinabay",1,2,137.507663650431,1.70906775338294,0.37968433778939,"MARINA BAY MRT STATION (CE2)/MARINA BAY MRT STATION (NS27)/SHENTON WAY MRT STATION (TE19)/BAYFRONT MRT STATION (DT16 / CE1)/DOWNTOWN MRT STATION (DT17)/PROMENADE MRT STATION (DT15)/RAFFLES PLACE MRT STATION (EW14 / NS26)/TELOK AYER MRT STATION (DT18)/PRINCE EDWARD ROAD MRT STATION (CC32)/TANJONG PAGAR MRT STATION (EW15)/RAFFLES PLACE MRT STATION/GARDENS BY THE BAY MRT STATION (TE22)/MARINA SOUTH MRT STATION (TE21)/MAXWELL MRT STATION (TE18)/PROMENADE MRT STATION (CC4)/MARINA BAY MRT STATION (TE20)/CANTONMENT MRT STATION (CC31)/MARINA SOUTH PIER MRT STATION (NS28)"
"5","CC3","Esplanade","Circle Line","CCL",3,"esplanade",0,0,145.228273691111,2.76699273673566,0.39635257629919,"CHINATOWN MRT STATION (DT19)/CHINATOWN MRT STATION (NE4)/CLARKE QUAY MRT STATION (NE5)/MAXWELL MRT STATION (TE18)/ROCHOR MRT STATION (DT13)/CITY HALL MRT STATION (EW13 / NS25)/BENCOOLEN MRT STATION (DT21)/BRAS BASAH MRT STATION (CC2)/BUGIS MRT STATION (DT14)/BUGIS MRT STATION (EW12)/FORT CANNING MRT STATION (DT20)/JALAN BESAR MRT STATION (DT22)/LAVENDER MRT STATION (EW11)/CHINATOWN MRT STATION/CLARKE QUAY MRT STATION/BUGIS MRT STATION/CITY HALL MRT STATION/LAVENDER MRT STATION/SOMERSET MRT STATION (NS23)/BENDEMEER MRT STATION (DT23)/DHOBY GHAUT MRT STATION (NS24)/DHOBY GHAUT MRT STATION (CC1)/DHOBY GHAUT MRT STATION (NE6)/SOMERSET MRT STATION/RAFFLES PLACE MRT STATION (EW14 / NS26)/FARRER PARK MRT STATION (NE8)/RAFFLES PLACE MRT STATION/FARRER PARK MRT STATION/PROMENADE MRT STATION (DT15)/LITTLE INDIA MRT STATION (DT12)/LITTLE INDIA MRT STATION (NE7)/LITTLE INDIA MRT STATION/OUTRAM PARK MRT STATION (NE3)/OUTRAM PARK MRT STATION (EW16)/OUTRAM PARK MRT STATION (TE17)/OUTRAM PARK MRT STATION/PROMENADE MRT STATION (CC4)/TELOK AYER MRT STATION (DT18)/SHENTON WAY MRT STATION (TE19)/DOWNTOWN MRT STATION (DT17)/NICOLL HIGHWAY MRT STATION (CC5)/TANJONG PAGAR MRT STATION (EW15)/PRINCE EDWARD ROAD MRT STATION (CC32)/BAYFRONT MRT STATION (DT16 / CE1)"
"6","CC4","Promenade","Circle Line","CCL",4,"promenade",1,1,151.963984524224,0.810930216216329,0.413803866202779,"NICOLL HIGHWAY MRT STATION (CC5)/PROMENADE MRT STATION (DT15)/CITY HALL MRT STATION (EW13 / NS25)/BUGIS MRT STATION (DT14)/BUGIS MRT STATION (EW12)/ESPLANADE MRT STATION (CC3)/BUGIS MRT STATION/CITY HALL MRT STATION/CLARKE QUAY MRT STATION (NE5)/FORT CANNING MRT STATION (DT20)/CLARKE QUAY MRT STATION/DHOBY GHAUT MRT STATION (NS24)/DHOBY GHAUT MRT STATION (CC1)/BENCOOLEN MRT STATION (DT21)/BRAS BASAH MRT STATION (CC2)/ROCHOR MRT STATION (DT13)/BAYFRONT MRT STATION (DT16 / CE1)/DHOBY GHAUT MRT STATION (NE6)/JALAN BESAR MRT STATION (DT22)/LAVENDER MRT STATION (EW11)/LAVENDER MRT STATION/SHENTON WAY MRT STATION (TE19)/DOWNTOWN MRT STATION (DT17)/RAFFLES PLACE MRT STATION (EW14 / NS26)/TELOK AYER MRT STATION (DT18)/RAFFLES PLACE MRT STATION/MARINA BAY MRT STATION (CE2)/MARINA BAY MRT STATION (NS27)/MARINA BAY MRT STATION/MARINA BAY MRT STATION (TE20)"
"7","CC5","Nicoll Highway","Circle Line","CCL",5,"nicollhighway",0,0,50.077921758074,NA,0.134836141094584,"BENDEMEER MRT STATION (DT23)/CITY HALL MRT STATION (EW13 / NS25)/BUGIS MRT STATION (DT14)/BUGIS MRT STATION (EW12)/ESPLANADE MRT STATION (CC3)/LAVENDER MRT STATION (EW11)/BUGIS MRT STATION/CITY HALL MRT STATION/LAVENDER MRT STATION/PROMENADE MRT STATION (CC4)/PROMENADE MRT STATION (DT15)/KALLANG MRT STATION (EW10)/ROCHOR MRT STATION (DT13)/JALAN BESAR MRT STATION (DT22)/BENCOOLEN MRT STATION (DT21)/BRAS BASAH MRT STATION (CC2)/RAFFLES PLACE MRT STATION (EW14 / NS26)/RAFFLES PLACE MRT STATION/LITTLE INDIA MRT STATION (DT12)/LITTLE INDIA MRT STATION (NE7)/LITTLE INDIA MRT STATION/STADIUM MRT STATION (CC6)/DHOBY GHAUT MRT STATION (NS24)/DHOBY GHAUT MRT STATION (CC1)/DHOBY GHAUT MRT STATION (NE6)/TANJONG RHU MRT STATION (TE23)/KATONG PARK MRT STATION (TE24)"
"8","CC6","Stadium","Circle Line","CCL",6,"stadium",0,0,14.3422725210286,NA,0.0386169516100296,"TANJONG RHU MRT STATION (TE23)/KALLANG MRT STATION (EW10)/MOUNTBATTEN MRT STATION (CC7)/MOUNTBATTEN MRT STATION/NICOLL HIGHWAY MRT STATION (CC5)/DAKOTA MRT STATION (CC8)/DAKOTA MRT STATION/KATONG PARK MRT STATION (TE24)"
"9","CC7","Mountbatten","Circle Line","CCL",7,"mountbatten",0,0,43.9776177788864,0.810930216216329,0.119970517829877,"STADIUM MRT STATION (CC6)/DAKOTA MRT STATION (CC8)/MOUNTBATTEN MRT STATION (CC7)/DAKOTA MRT STATION/KALLANG MRT STATION (EW10)/KATONG PARK MRT STATION (TE24)/ALJUNIED MRT STATION (EW9)/TANJONG KATONG MRT STATION (TE25)/TANJONG RHU MRT STATION (TE23)/PAYA LEBAR MRT STATION (CC9)/PAYA LEBAR MRT STATION (EW8)"
"10","CC8","Dakota","Circle Line","CCL",8,"dakota",0,0,49.4858928748086,0.810930216216329,0.134801695561445,"KALLANG MRT STATION (EW10)/PAYA LEBAR MRT STATION (CC9)/DAKOTA MRT STATION (CC8)/PAYA LEBAR MRT STATION (EW8)/MOUNTBATTEN MRT STATION (CC7)/MOUNTBATTEN MRT STATION/EUNOS MRT STATION (EW7)/MACPHERSON MRT STATION (DT26)/MACPHERSON MRT STATION (CC10)/MACPHERSON MRT STATION/STADIUM MRT STATION (CC6)/KATONG PARK MRT STATION (TE24)/TANJONG KATONG MRT STATION (TE25)/MARINE PARADE MRT STATION (TE26)"
